artist_name,title,artist_location,release,hotness,familiarity,danceability,duration,energy,loudness,year,tempo,analysis_rate,end_of_fade_in,key,key_confidence,mode,mode_confidence,start_of_fade_out,time_signature,time_signature_conf,track_id
The Impressions,I Found You,United States,The Impressions,0.4102474074764877,0.6332206239096116,0.0,207.35955,0.0,-16.489,1963,121.896,22050,3.477,1,0.607,1,0.701,198.565,4,0.507,TRARNAS128EF355915
Casa Bulga,Afraid Of Change (Tribal Vocal Mix),,Afraid Of Change,0.0,0.200729608076517,0.0,401.24036,0.0,-7.327,2003,0.0,22050,0.322,10,0.596,0,0.604,398.803,3,1.0,TRARNIL12903C9A9C8
Debbie Davies,Grow Up_ Grow Old,Los Angeles, CA,Love The Game,0.3431334973952383,0.528835697897188,0.0,283.79383,0.0,-7.961,0,107.183,22050,0.0,0,0.73,1,0.66,260.725,1,0.0,TRARNKQ12903CE7299
Willie Clayton,Walk Away From Love,Indianola, MS,Willie Clayton's Greatest Hits - Midnight Doctor,0.37455792647989944,0.46705418466605936,0.0,260.51873,0.0,-10.646,0,105.863,22050,0.189,10,0.675,1,0.563,250.729,4,1.0,TRARNAJ128F92CD7F9
Bob Marley & The Wailers,Rainbow Country (Red Gold And Green Version),,Mystic Mixes - An Exclusive Remix Collection,0.570106511951141,0.7788358274024846,0.0,258.29832,0.0,-5.308,2001,152.99,22050,0.0,8,0.269,0,0.521,250.491,4,0.42,TRARNZA128F424EC6A
Tanto Metro & Devonte,Strange Things,,Riddim Driven: Celebration,0.33672684140890796,0.6117882539472937,0.0,158.1971,0.0,-6.712,2004,104.465,22050,0.108,7,0.147,1,0.474,158.197,4,1.0,TRARNBZ128F4238CF7
Alvin Youngblood Hart,Screamin' & Hollerin' The Blues,Oakland, CA,Screamin' and Hollerin' The Blues,0.34843419690439803,0.5236534084935914,0.0,208.84853,0.0,-9.186,0,111.523,22050,0.334,3,0.0,1,0.094,195.587,1,0.0,TRARNZV128F930CDFB
Naseebo Lal,Dholna Dholna,,Ronde Ne Nain,0.0,0.36347553470080324,0.0,376.16281,0.0,-12.746,0,151.983,22050,0.462,7,0.857,1,0.681,367.961,4,0.203,TRARNMW128F92DE2D4
Hot Tuna,Parchman Farm,San Francisco, CA,LIVE AT SWEETWATER II,0.40517835890761195,0.5672788711826817,0.0,461.71383,0.0,-9.989,2004,138.512,22050,0.0,1,0.979,0,0.711,461.714,4,0.661,TRARGZR128F92E28D6
Daddy Yankee,A Lo Clasico,Puerto Rico,El Cartel: The Big Boss,0.562506672288816,0.9089842956402567,0.0,235.15383,0.0,-4.13,2007,91.026,22050,0.0,4,0.085,0,0.39,230.946,4,1.0,TRARGBM128F428F65E
Hacken Lee,Zhi Xiang Ni hui Yi,,De Xin Ying Shou Yan Chang Hui 2006,0.34197680383144013,0.48769397159097466,0.0,424.82893,0.0,-15.198,0,124.984,22050,0.0,7,0.699,1,0.75,424.829,3,0.989,TRARGCC128F92F34B7
Jimmy Riley,Amaze,,Love Canticle,0.299705214086752,0.47772473249197345,0.0,216.39791,0.0,-6.895,0,159.943,22050,0.351,1,0.0,1,0.167,206.391,4,0.0,TRARGDO12903C956AA
The Cortinas,Radio Rape,,Please Don't Hit Me,0.36951156516797784,0.5146242649672889,0.0,219.01016,0.0,-7.687,1978,134.985,22050,0.0,4,0.861,1,0.954,205.851,3,0.884,TRARGLY128F935AAD5
Masta Ace Incorporated,Ain't No Game,Brooklyn, NY,Sittin' On Chrome,0.3920757801423852,0.66395286324226,0.0,295.1571,0.0,-7.687,1995,88.12,22050,0.0,11,0.111,1,0.295,295.157,5,0.722,TRARGTV128F4274FB6
Jongo Trio,Cavaleiro De Aruanda,,Jongo Trio,0.20639450482725655,0.45528726198025693,0.0,157.72689,0.0,-8.151,0,144.581,22050,0.345,2,0.192,1,0.487,144.776,4,0.0,TRARZIV128F147AADB
George Nooks,TELL ME WHY,,RIDDIM DRIVEN - SLOW DOWN THE PACE,0.3395324203493744,0.5637486273655298,0.0,221.90975,0.0,-7.398,0,152.172,22050,0.067,7,0.0,1,0.198,215.638,4,0.816,TRARZMX128F4238B5A
Energy,Czwarty,,Energy,0.4174057975201058,0.6165648063444212,0.0,310.9873,0.0,-5.941,0,87.512,22050,0.355,2,0.112,1,0.282,291.73,4,0.761,TRARZOS128F14A1E17
Felix Slatkin/Concert Arts Symphonic Band,Washington Post (1998 Digital Remaster),St. Louis, MO,The Military Band - Salute to the Services,0.2916990799372148,0.47161281018282714,0.0,151.17016,0.0,-15.019,0,124.056,22050,0.0,5,0.348,1,0.462,146.994,4,0.0,TRARZFN128F42680B8
Eddie Palmieri,No Pienses Asi,New York, NY,Eddie Palmieri/Lala Rodrigues/Ismael Quintana - Gold 1973-1976,0.368446211679491,0.571926730797233,0.0,266.50077,0.0,-17.886,1973,153.309,22050,0.388,10,0.414,0,0.464,254.409,1,0.0,TRARZBQ128F42649A6
William Orbit,Cavalleria Rusticana,,Pieces In A Modern Style,0.42495308411251165,0.6749702930475524,0.0,199.8624,0.0,-21.82,2000,131.281,22050,0.287,5,0.64,1,0.705,187.96,4,0.887,TRARZBX12903CD70DA
Chris Brown,Forever,Fairfax, California,Forever,0.830356766356765,0.8926886114037278,0.0,389.25016,0.0,-2.991,0,85.322,22050,0.2,11,0.712,1,0.463,383.089,1,0.169,TRARZKD128F425D64D
HA-ASH,Amor a Medias,Lousiana,Mundos Opuestos,0.38791159898405514,0.6320417540294726,0.0,253.90975,0.0,-5.548,2005,136.945,22050,0.107,9,0.385,1,0.32,244.727,4,0.284,TRARZBR128F934715D
Radiohead,15 Step,Oxford, UK,In Rainbows,0.683658060202375,0.8999349522317316,0.0,237.21751,0.0,-7.057,2007,188.91,22050,0.0,1,0.623,1,0.763,226.116,5,0.68,TRARTEH128F423DBC1
Kashief Lindo,I Love Your Way,,Love Knows The Way,0.32981032859254966,0.4366853565625111,0.0,238.15791,0.0,-5.85,0,86.481,22050,0.194,9,0.0,1,0.0,233.709,4,0.304,TRARTOQ12903CA1CA9
BoDeans,Lookin' For Me Somewhere,Waukesha WI,Love & Hope & Sex & Dreams [Deluxe Edition],0.4059673692017926,0.6176086939874837,0.0,186.20036,0.0,-13.845,1986,156.285,22050,0.148,7,1.0,1,0.864,171.764,1,0.0,TRARTBH128F93087A4
Bon Jovi,Raise Your Hands,Sayreville, NJ,Who Says You Can't Go Home,0.7188914556702095,0.8392976775681696,0.0,311.27465,0.0,-4.857,1986,139.95,22050,0.328,1,1.0,1,0.808,303.827,4,0.203,TRARTJL128F92CB44B
John Tchicai,Rainbow Dance,Copenhagen, Denmark,Anybody Home?,0.281396284444565,0.4059239066513581,0.0,182.36036,0.0,-31.391,0,154.731,22050,0.0,3,0.467,0,0.312,176.704,5,0.543,TRARTSZ128F427642F
Bongzilla,Champagne & Reefer,Madison, Wisconsin,Amerijuanican,0.4460715844124553,0.5744007886920006,0.0,286.58893,0.0,-4.627,2005,97.265,22050,0.165,9,0.437,1,0.353,282.517,3,1.0,TRARTSA128F4291550
Otis Spann,No More Doggin',Jackson, MS,The Biggest Thing Since Colossus,0.36868937254805195,0.5344643522287597,0.0,180.40118,0.0,-12.931,1995,63.255,22050,3.622,0,0.715,1,0.736,170.127,4,0.27,TRARTCZ128F427A176
John Holt,I Need a Veggie,Kingston, Jamaica,His Story,0.42479123557056614,0.6294632451871911,0.0,228.30975,0.0,-9.603,0,131.297,22050,0.305,0,0.304,1,0.398,223.875,4,0.887,TRARTYH12903CF0056
Danny Wilson,Get Happy,Dundee, Scotland,The Best Of Danny Wilson,0.36290298564883927,0.5599914150758433,0.0,126.53669,0.0,-8.515,0,92.591,22050,3.46,5,0.527,1,0.51,122.183,4,0.673,TRARTGG128F424ABCD
Al Dexter,I'll Wait for You Dear,Jacksonville, TX,Country Lovers_ Vol. 2,0.30760066407570574,0.4070193134633718,0.0,150.9873,0.0,-16.627,0,102.707,22050,0.171,9,0.432,1,0.304,150.987,4,0.876,TRARTME12903CE0253
Van Halen,From Afar (Album Version),Pasadena, CA,Van Halen III,0.5799889824287546,0.7446412459327763,0.0,324.23138,0.0,-9.057,1998,87.899,22050,12.452,4,0.696,0,0.638,317.44,1,0.445,TRARTEH128F4280823
Capleton,Cry For Love,,Kings of Zion,0.41005362267597006,0.6622504836647155,0.0,216.81587,0.0,-10.336,0,137.425,22050,0.0,1,0.551,0,0.506,210.826,3,1.0,TRARTDG12903CA52DF
Tim Wilson,Uncle B.S. - 1963,Georgia,Gettin' My Mind Right,0.3499126116745628,0.4597971288376104,0.0,100.67546,0.0,-12.36,1999,88.576,22050,0.392,5,0.261,1,0.297,98.093,5,0.772,TRARTAR128F145F235
Kisha,Wohär dr Wind wäiht,,Stoffwächsu,0.3499061970800659,0.48434303472558937,0.0,203.04934,0.0,-7.222,0,152.792,22050,0.096,0,0.163,1,0.44,200.539,4,0.181,TRARTHV128F429B77A
The Chap,Volumatic Spacer Device,London,Lo Compilation Mix By Susumu Yokota,0.457611173992295,0.612657823642785,0.0,207.28118,0.0,-8.337,2003,123.007,22050,0.0,6,0.425,0,0.681,207.281,4,0.566,TRARTYI128F427E74C
DJ Vix,Putt Jhatt Da Gulabi Phull Varga,London,The Official Moviebox Vix Tape Vol.1,0.34425375042218076,0.5019211636507392,0.0,98.76853,0.0,-3.423,0,195.755,22050,0.0,11,0.135,0,0.257,98.769,4,0.0,TRARTIV128F92F87F0
Ziggy Marley And The Melody Makers,Namibia,,Jahmekya,0.5384911275040679,0.7504798171418188,0.0,246.54322,0.0,-11.912,0,110.873,22050,0.27,7,0.718,1,0.758,219.899,4,0.031,TRARSMV128F1469CCF
Crematorium,Unlearn,,For All Our Sins,0.305093197499329,0.5486741747818619,0.0,210.1024,0.0,-7.148,0,122.186,22050,0.0,8,0.153,0,0.212,199.75,4,0.61,TRARSJD128F932BAF8
Månegarm,Vargbrodern Talar,Norrtälje,Vargstenen,0.41741302397052693,0.6142617638576565,0.0,92.76036,0.0,-6.769,2007,163.086,22050,0.0,4,0.016,0,0.009,85.664,4,0.0,TRARSAM128F4256E04
Ernest Ranglin / Floyd Lloyd,Sweet Lady,Robin's Hall, Jamaica,Ska Wey Dat,0.4245078859561901,0.5797145839298071,0.0,271.77751,0.0,-4.909,0,127.07,22050,0.0,3,0.426,1,0.489,271.777,1,0.0,TRARSFU12903CB2669
Franco,Forever,Sona-Bata, Zaire,Retro Years,0.45327023630649965,0.6004865427010225,0.0,251.61098,0.0,-9.387,0,89.984,22050,5.23,1,0.569,0,0.67,233.709,3,0.731,TRARSLP12903CE2AA6
Britney Spears,3,Kentwood, LA; Los Angeles, CA,3,0.6072572795814319,0.9473275066349645,0.0,465.47546,0.0,-6.278,2009,131.999,22050,0.0,1,0.309,1,0.409,461.41,5,1.0,TRARSKA128F9336A04
Danny Elfman,Sleuthing,Los Angeles, California,Men In Black II - Music From The Motion Picture,0.5494459610037913,0.7668262054597053,0.0,140.87791,0.0,-22.435,2002,86.901,22050,0.36,5,0.158,0,0.418,140.878,5,0.328,TRARSKS128F4272D2F
Junior Kimbrough,Meet Me in the City,Hudsonville, MS,Meet Me in the City,0.4271229698860146,0.6834557007638835,0.0,190.06649,0.0,-14.023,1997,129.584,22050,0.321,7,0.007,0,0.239,184.866,4,0.338,TRARSZV12903CDB2DE
Liquid Gang,Drama  (LP Version),,Sunshine,0.3327371975770705,0.42672367910905545,0.0,226.0371,0.0,-4.945,0,143.963,22050,0.125,1,0.418,0,0.281,220.862,4,1.0,TRARSAW12903C9EDEB
Everly Brothers,Oh What A Feeling,Tennessee,The Very Best Of,0.4641565035576794,0.5751917687532937,0.0,125.02159,0.0,-15.036,0,82.461,22050,0.0,7,0.079,1,0.494,114.248,4,0.0,TRARALS128F934F7C1
Flowin Immo et Les Freaqz,So hell mit Klause Duo,,Immoment,0.2617301296059692,0.36998812381486595,0.0,225.59302,0.0,-7.486,2009,83.321,22050,15.186,11,0.096,0,0.26,217.763,5,1.0,TRARAKX12903CBADE2
Philip Glass,Concerto For Saxophone (Quartet Version): Movement IV,Baltimore, MD,Philip Glass: Saxophone,0.4662243003452983,0.7113800959726605,0.0,231.10485,0.0,-14.383,0,176.122,22050,0.532,0,0.622,0,0.676,222.679,1,0.0,TRARAAG128F42437FB
Luis Alberto Spinetta,Llama y Verás,Buenos Aires, Argentina,Silver Sorgo,0.4398438541325515,0.5776331497038921,0.0,209.47546,0.0,-16.079,2001,196.52,22050,0.259,9,0.467,1,0.517,196.836,3,1.0,TRARAZI128F427F3B4
Ramy Ayach,Heyya Heyya,,Albi Mal,0.32207054698217524,0.4466033285028504,0.0,239.80363,0.0,-5.942,0,88.015,22050,3.75,10,0.505,0,0.451,224.885,4,0.567,TRARAIG128F424DDCC
Frank Chacksfield & His Orchestra,Misty Valley,,Velvet And Lovely Lady,0.3282376641531046,0.3380146636071446,0.0,155.37587,0.0,-19.61,2001,151.195,22050,3.274,0,0.406,1,0.482,144.155,3,0.722,TRARAEU12903CB396C
Frl.Menke,Sehnsuchtsexpress,,Ich will's gefährlich,0.31006542453762087,0.5050095631044134,0.0,217.20771,0.0,-11.016,0,90.954,22050,0.305,5,0.755,1,0.665,200.173,4,0.464,TRARAGQ12903CB6892
Agnostic Front,Come Alive,New York, NY,Warriors,0.5043077259823238,0.7014417589824127,0.0,122.17424,0.0,-5.218,2007,185.453,22050,0.096,2,0.312,1,0.43,118.062,7,0.716,TRARACF128F424FACF
Snow Patrol,Spitting Games,Dundee, Scotland,Snow Patrol: Sessions@AOL,0.667294595643469,0.8183193591388943,0.0,229.642,0.0,-14.848,2003,74.576,22050,0.0,7,0.725,1,0.735,210.28,1,0.0,TRARAIO128E0780FDE
Rise Against,Drones,Chicago,The Sufferer & The Witness,0.696161109835502,0.8217186933767476,0.0,181.57669,0.0,-3.696,2006,209.141,22050,0.0,3,0.301,0,0.336,176.721,4,0.0,TRARANL128F1478789
The Rance Allen Group,Do Your Will (Album Version),Detroit, MI,All the Way,0.3140117898326241,0.48800888180325214,0.0,337.162,0.0,-4.152,0,105.994,22050,0.253,0,0.764,1,0.572,327.959,4,1.0,TRARAHB128F428928E
Refractory,Check the bomb,,Refractory,0.4412980765062673,0.5202676181842041,0.0,358.89587,0.0,-5.613,0,123.96,22050,2.212,5,0.02,1,0.596,351.434,5,0.495,TRARATE128F92FE56A
Theodor Zox,System of Play,,Run Away,0.3361063415448203,0.48676678200099577,0.0,381.23057,0.0,-11.941,0,83.991,22050,0.0,2,0.015,1,0.353,375.548,3,1.0,TRARAJS12903CAD54F
Bob Dylan,Trying To Get To Heaven,Duluth, MN,Time Out Of Mind,0.6333399087018368,0.6753848119981302,0.0,320.70485,0.0,-14.089,1997,94.161,22050,0.136,3,0.121,1,0.346,309.899,4,0.604,TRARAEG128F42647B2
Maximilian Hecker,Birch,,Lady Sleep,0.4356840702087019,0.6211210512857237,0.0,370.02404,0.0,-13.538,2005,243.981,22050,38.249,5,0.399,0,0.476,362.034,4,0.271,TRARFWJ128F9339D70
Albert Collins,Same Old Thing,Leona, Texas,Collins Mix,0.3956083503166371,0.6281025772725769,0.0,356.25751,0.0,-11.893,1993,94.557,22050,0.0,7,0.27,1,0.227,341.188,4,0.536,TRARFXI128F1468CE3
Fergie,Voodoo Doll,Hacienda Heights, CA,The Dutchess,0.5602055463890734,0.8736271743351188,0.0,263.05261,0.0,-6.502,0,129.997,22050,0.0,1,0.783,1,0.693,263.053,4,0.0,TRARFQL128F931E523
Los Amigos Invisibles,Nerio Compra Una Contestadora,Venezuela,The New Sound of the Venezuelan Gozadera,0.3706798339873494,0.7007166325216353,0.0,24.34567,0.0,-21.978,1998,142.453,22050,0.0,5,0.168,1,0.481,24.346,5,0.612,TRARFAV128F428B7B2
Seal,Killer (Single Version),Paddington, London, England,Killer,0.5800131829395042,0.5673132241223214,0.0,257.48853,0.0,-7.762,0,117.988,22050,0.375,10,0.432,0,0.515,248.337,4,0.429,TRARFSI128F92C5B06
Flink,Sunset Manifesto,,Moog,0.3569509564248949,0.4827332280994939,0.0,160.91383,0.0,-6.103,0,147.934,22050,0.177,6,0.337,0,0.354,152.485,4,0.254,TRARFSH128F92DFDED
Salt The Wound,From My Hands,,Ares,0.44522219768945687,0.6420304768201044,0.0,241.162,0.0,-5.056,2009,174.424,22050,0.0,2,0.155,1,0.354,227.915,7,0.24,TRARFKP12903CF5DF1
ZENFU,Tanz,,tiefblau,0.0,0.3893118071429121,0.0,130.71628,0.0,-4.689,0,143.126,22050,0.13,4,0.051,0,0.502,122.99,4,1.0,TRARFAB128F4244BB7
Daniel Paul,Coming Back For More feat. Colin Corvez,Hawaii,Coming Back For More,0.34729886666752735,0.40580595110168044,0.0,323.60444,0.0,-11.556,0,120.04,22050,0.107,4,0.0,0,0.0,315.623,4,1.0,TRARFTH128F93052CF
Winston Reedy,Paradise In Your Eyes,,Love Thing,0.2899029316087479,0.43350762637871326,0.0,268.61669,0.0,-7.097,0,130.812,22050,2.415,0,0.879,1,0.612,259.094,4,0.431,TRARFLF128F425B49B
Korpiklaani,Isku Pitkästä Ilosta,,Karkelo,0.5166585807553916,0.7026775112244263,0.0,250.8273,0.0,-4.535,2009,99.995,22050,0.0,7,0.819,1,0.585,243.635,1,0.0,TRARFAZ128F93481AD
Eminem,The Way I Am,St. Joseph, MO,Curtain Call,0.8048304278312782,0.871010615313384,0.0,291.10812,0.0,-3.353,2000,174.731,22050,0.0,4,0.067,0,0.419,278.32,4,0.862,TRARFOC128F92ED401
Johnny Cash,One More Ride (Digitally Remastered),Kingsland, AR,Mi Collection - Volume 2,0.7352088777469941,0.8172569392930438,0.0,120.99873,0.0,-12.308,0,110.43,22050,0.264,8,0.636,1,0.534,112.019,4,1.0,TRARFQY12903CA07B6
Brian Dullaghan,Can't Help Falling In Love,,Songs For A Wedding - 18 Songs For That Special Day,0.15085776244515894,0.291433259678306,0.0,190.56281,0.0,-15.892,0,90.255,22050,0.392,3,0.475,1,0.636,183.687,4,1.0,TRARFCT12903CD3545
Dezz White,Drunk Driving Tip,,My Wife And Her Husband,0.25802870378298154,0.3510663903409733,0.0,44.93016,0.0,-15.497,0,59.021,22050,0.0,4,0.0,1,0.0,44.93,4,1.0,TRAROOB128F424C74C
Shakira,Que Vuelvas,Barranquilla, Colombia,Donde Estan Los Ladrones,0.7172098545666633,0.8573199009058027,0.0,231.75791,0.0,-7.174,1998,123.861,22050,0.531,2,0.549,1,0.586,231.758,4,0.837,TRAROQC128F4273979
Roger Williams,I'm In The Mood For Love,Omaha, NE,Songs Of The Fabulous Century,0.4179822750090275,0.4998810748804663,0.0,170.81424,0.0,-15.383,0,100.366,22050,0.636,11,0.758,1,0.761,165.523,3,1.0,TRAROUS12903CF4F08
Gonzalo Rubalcaba,Yesterdays,Havana, Cuba,The Trio,0.34517431863973785,0.5343922941001787,0.0,483.39546,0.0,-33.045,0,70.256,22050,0.571,9,0.639,0,0.58,457.189,3,0.31,TRAROHB128F145CD83
David Taylor,Concertino for Bass Trombone and Trombone Choir,Virginia,Bass Hits,0.29017466692780897,0.4183993103634775,0.0,600.11057,0.0,-22.54,0,144.252,22050,0.474,11,0.133,1,0.249,589.642,1,0.495,TRAROQL128F92F7E7D
Domna Kountouri,De Tha Mai Edo,,Paihnidi Isorropias,0.1705924994834402,0.05124139585816517,0.0,209.94567,0.0,-8.318,0,99.98,22050,2.235,3,0.902,0,0.67,204.481,4,0.687,TRAROCB128EF35098A
Anne Dudley,Rachel's retribution,,Black Book,0.35199833790961566,0.5432902428659292,0.0,280.86812,0.0,-15.428,2006,118.326,22050,3.744,11,0.599,0,0.528,249.133,4,0.45,TRAROSP128F1487270
The Starting Line,A Goodnight's Sleep,Philadelphia, PA,Say It Like You Mean It,0.5363511796557352,0.8563174271993809,0.0,264.41098,0.0,-5.011,2002,142.069,22050,0.072,9,0.074,1,0.328,249.574,4,0.723,TRARODV128F1460DBC
